headword,pos,supplement,entry,meaning,ipa,example_sentence,translated_sentence
,,,fear,"〈C〉〈U〉恐れ,恐怖(dread)  / 〈C〉〈U〉不安,心配,気づかい(anxiety)  / 〈U〉(神に対する)おそれ,崇敬(awe)  / …‘を'恐れる,こわがる(進行形にできない)  / …‘を'気づかう,あやぶむ  / 《古》〈神など〉‘を'恐れる  / 恐れる,こわがる  / (…を)気づかう,心配する《+for+名》",/fɪər/,She couldn't overcome her fear of spiders.,彼女はクモの恐怖を克服することができなかった。
,,,feed,"〈人・動物〉‘に'食物を与える,‘を'養う;《英》(…で)〈人・動物〉‘を'育てる,飼育する《+名+on+名》  / 《米》(人・動物に)〈食物〉‘を'与える《+名+to+名》  / 〈食物ず〉…‘の'食事となる,‘を'まかなう  / (必要なものを)…‘に'供給する《+名+with+名》  / (…に)〈必要なもの〉‘を'供給する,送り込む《+名+into(to)+名》  / 〈動物が〉食べる,《話》〈人が〉食べる  / 〈U〉飼料,えさ;〈C〉1回分の飼料  / 〈C〉《話》《単数形で》食事;ごちそう",/fid/,I feed my dog twice a day.,私は毎日犬に２回ご飯をあげます。
,,,few,"《aをつけて肯定的に》少しはある,多少の,いくつかの  / 《aをつけないで否定的に》ほとんどない,少数(少し)しかない  / 《aをつけて背定的に》(…の)少数の人(物)《+of+名〈複数〉》  / 《aをつけないで否定的に》(…の)少数の人(物)[しかない]《+of+名〈複数形〉》  / 《the~》少数の人たち,選ばれた人たち",/fjuː/,I have a few books.,私は少し本を持っています。
,,,field,"〈C〉『野原』;田野,田畑  / 〈C〉(鉱物などの)産出地,埋蔵地  / 〈C〉『戦場』([[battlefield]])  / 〈C〉(スポーツの)『競技場』  / 〈C〉(ある用途の)場,地面  / 〈C〉(研究・活動などの)『分野』,領域",/fild/,She loves to run and play in the field.,彼女は野原で走ったり遊んだりするのが大好きです。
,,,fifteen,"〈C〉(数の)15;15記号(15,XVなど)  / 〈U〉(24時間制の)15時,15分;15歳  / 〈U〉《複数扱い》15人,15個  / 〈C〉15(15人,15個)一組のもの;ラグビーチームのメンバー  / 15の,15個の,15人の  / 《補語にのみ用いて》15歳の(で)",/ˈfɪfˈtin/,There are fifteen students in the classroom.,教室には15人の生徒がいます。
,,,five,"〈C〉(数の)5;5の記号(5,Vなど)  / 〈C〉5時,5分;5歳  / 〈U〉《複数扱い》5人,5個  / 〈C〉5人(5個)1組のもの  / 〈C〉(カードの)5の札  / 5の,5個の;5人の  / 《補語にのみ用いて》5歳の(で)",/faɪv/,I have five apples.,私はりんごを5つ持っています。
,,,foot,"〈C〉(人間・動物の)足(くるぶしから先の部分);(生物体の)足状の部分  / 〈C〉《通例the~》(高い物・長い物の)足部,下部,低部《+of+名》  / 〈C〉《通例the foot》(階級・地位などの)最下位《+of+名》  / 〈U〉〈C〉歩み,足取り  / 〈C〉フィート(長さの単位で12インチ,30.48センチ)  / 〈C〉詩脚(詩における韻律の単位)  / 〈C〉《通例単数形で》(靴下の)足の部分  / 〈勘定など〉‘を'支払う",/fʊt/,I hurt my foot while playing soccer.,サッカーをしている最中に足を痛めました。
,,,force,"【名/U】力 / 暴力 / 影響力 / 【名/C】軍隊 / 【動/他】〈人〉に強いる / 《...に》...を押しつける《on, upon ...》",/fɔːrs/,The police used force to subdue the suspect.,警察は容疑者を制圧するために力を使った。
,,,form,"〈C〉〈U〉(色・材質に対して)『形』,形状,姿 / 〈C〉『人体』,体つき  / 〈C〉〈U〉『外観』,格好,人影 / 〈C〉〈U〉(ものの現れる)『形態』,形式 / 〈C〉(生物などの)『種類』,品種",/fɔːrm/,The form of the sculpture is abstract.,彫刻の形は抽象的です。
,,,forward,【副】前方へ / 将来へ / 【形】前方の / 進んだ / 【名/C】(フットボールなどの)前衛 / 【動/他】《…に》〈手紙など〉を転送する《to ...》,/ˈfɔːrwərd/,He looked forward to the weekend.,彼は週末を楽しみにしていた。
,,,four,"〈C〉(数の)4;4ノ記号(4,IVなど)  / 〈U〉4時,4分;4歳  / 〈U〉《複数扱い》4人,4個  / 〈C〉4個(4人)1組のもの;フォア(4本オールのボートおよびその選手)  / 〈C〉(カードの)4の札  / 4の;4人の;4個の  / 《補語にのみ用いて》4歳の(で)",/fɔːr/,There are four apples on the table.,テーブルの上にはりんごが4つあります。
,,,noise,"〈C〉〈U〉(特に,大きなまたは不快な)音,物音  / 〈C〉〈U〉(街・往来などの)ざわめき,騒音,騒々しい声  / 〈C〉(一般に)物音  / 〈U〉(ラジオ・テレビなどの)ノイズ,雑音  / …‘を'広める,言い触らす《+名+about(abroad, around)》  / 音を立てる;大声で話す《+about(around, abroad)》",/nɔɪz/,The noise from the construction was unbearable.,施工からのノイズは耐えられなかった。
,,,freedom,"〈U〉〈C〉自由  / 〈U〉〈C〉(束縛・義務・不安などからの)解放,免除《+from+名》  / 〈U〉自由自在,のびのびしていること〈C〉なれなれしさ,無遠慮  / 《the~》(市民権・会員権などの)権利享有権(権物などへの)出入りの自由,(…の)自由使用権《+of+名》",/ˈfriːdəm/,Freedom is a fundamental human right.,自由は基本的な人権です。
,,,general,【形】全体的な / 世間一般の / 一般的な / 大体の【名/C】陸軍大将 / 将軍,/dʒɛnərəl/,He has a general understanding of the topic.,彼はそのトピックについて全体的な理解を持っています。
,,,front,"《the~》(物の)『前面』,表;(玄関を含む建物の)正面;《…の》最前部《of ...》  / 《the~》(本などの)最初の部分  / 〈U〉《しばしばa~》(物事に対する)態度  / 〈C〉(共通目的のための)共同戦線,運動,提携  / 〈C〉(街路・川・湖に面した)土地;《英》(海岸の)遊歩道  / 〈C〉戦線  / 《話》〈C〉世間の目をそらすための人(物);(…の)隠れみの《+for+名》  / 〈C〉(気象上の)前線  / 〈C〉前部に位置する(ある)もの(ワイシャツの胸当て,前頭部など)",/frʌnt/,The car's front is dented.,車の前面がへこんでいる。
,,,gently,優しく / 穏やかに,/ˈdʒɛntli/,She spoke gently to the child.,彼女は子供に優しく話しました。
,,,gas,"〈U〉〈C〉気体,ガス  / 〈U〉(灯用・燃料用)ガス  / 〈U〉《米話》=gasoline  / 〈U〉(麻酔用の)亜酸化窒素,笑気(laughing gas);毒ガス(mustard gas, tear gasなど)  / 〈U〉《話》むだ話,ばか話  / 〈C〉《単数形で》とても楽しいこと  / 〈敵など〉‘を'毒ガスで攻撃する  / 《米話》〈車〉‘に'ガソリンを入れる《+up+名,+名+up》  / 長々とむだ話をする",/ɡæs/,Natural gas is used for heating and cooking.,天然ガスは暖房や料理に使われています。
,,,fresh,【形】新鮮な / はつらつとした / (印象・色などが)鮮やかな,/frɛʃ/,I bought some fresh vegetables from the market.,私は市場で新鮮な野菜を買いました。
,,,further,"【形】もっと遠い / もっと進んだ / 【副】さらに遠く / もっと進んで / そのうえ / 【動/他】を進める, を促進する",/ˈfɜːrðər/,I need to go further to reach my destination.,私は目的地に到達するためにもっと遠くに行かなければなりません。
,,,glass,"〈U〉ガラス  / 〈C〉(ガラス製の)コップ,グラス  / 〈C〉(…の)コップ(グラス)1杯[の量](glassful)《+of+名》  / 〈U〉《集合的に》ガラス製品,ガラス器(glassware)  / 〈C〉《英話》鏡(looking glass)  / 〈C〉レンズ;望遠鏡;顕微鏡  / 《複数形で》眼鏡(eyeglasses, spectacles)  / 〈C〉晴雨計(barometer)  / 〈C〉《英》砂時計(sandglass)  / …‘に'ガラスをはめる,‘を'ガラスでおおう",/ɡlæs/,I put the glass on the table.,テーブルの上にグラスを置きました。
,,,golden,"金の,金製の  / 金色の,黄金色の  / (金のように)貴重な,すばらしい",/ˈɡoʊldən/,She wore a beautiful golden necklace.,彼女は美しい金のネックレスを身に着けていた。
,,,green,"緑の,緑色の,青々とした  / (季節が)新緑の;(木々の緑が残って)温暖な  / (果物が)うれていない;(酒・チーズなどが)熟成していない  / 未経験の  / (食物・木材・皮などが)生の;調理して(乾燥して,なめして)ない  / 青野菜の;青草の  / 活気のある,元気な;若い  / (記億などが)生々しい  / 〈U〉緑色;緑色の服[地];〈C〉緑色の絵の具  / 〈C〉草地,緑地,芝;(町・村の)芝の生えた共有地  / 〈C〉《複数形で》《米》装飾用の緑葉(緑枝);野菜,青物  / 〈C〉(ゴルフの)グリーン(芝を短く刈ったパット区域)",/ɡriːn/,The grass is green.,芝生は緑色だ。
,,,growth,"〈U〉
成長，発展，発達.
増大，増加，
栽培，培養 〔of〕.
〈C〉
生長物，発生物 《草木・ひげ・つめなど》
腫瘍",/ɡroʊθ/,The company experienced rapid growth in the past year.,会社は昨年急速な成長を経験しました。
,,,hall,"会館,公会堂,集会場;本部,事務所  / (大きな建物の一部となっている)大広間,ホール  / (また《おもに米》hallway)玄関の広間(玄関のドアを入った所とそこから各部屋の前まで通じる廊下)  / 《米》(学校・ビルなどの)廊下,通路  / 学校内の特別の用途のための建物(校舎,寄宿舎,集会所,大食堂など)  / 《おもに英》地方の大地主の邸宅",/hɔːl/,The kids ran and shouted in the hall.,子供達がホールで走り回りながら叫んでいた。
,,,government,"【名/C】政府 / 【名/U】政体, 政治体制 / 《...の》統治 《of ...》",/ˈɡʌvərnmənt/,The government is responsible for making and enforcing laws.,政府は法律を制定し、執行する責任があります。
,,,plan,"計画,案,プラン,設計  / 設計図,図面;(小区域の)地図,市街図  / …‘を'計画する,‘の'案を立てる  / …の設計図をかく,‘を'設計する  / 計画を立てる",/plæn/,I made a plan for the future.,将来のための計画を立てました。
,,,left,"【形】左の, 左方の / (政治上の)左翼の,左派の / 【副】左に,左方に / 【名/U】《 the ~》左, 左側 / 左翼の政党, 左派 / 【名/C】左翼手 / (ボクシングで)左手打ち",/lɛft/,The left shoe was too small for her.,彼女のための左の靴は小さすぎた。
,,,healthy,"(人・身心などが)健康な,健全な  / 健康によい,健康を増進する",/ˈhɛlθi/,He is a healthy person.,彼は健康な人です。
,,,hear,"〈音〉‘が'聞こえる,‘を'聞く(進行形にできない)  / 〈人の言うこと〉‘に'耳を傾ける,‘を'注意深く聞く(listen);(裁判官などが)…の申し立てを聞く  / 〈うわさ・ニュースなど〉‘を'耳にしている,聞いている  / 耳が聞こえる  / 《しばしば命令形で》耳を傾ける,注意を向ける  / うわさ(消息)を聞く",/hɪər/,I heard the sound of the bell.,私はベルの音を聞いた。
,,,help,"【動/他】〈人が〉〈人〉を手伝う,を助ける / 〈物事が〉〈人・事〉に役立つ / 【名/U】助け, 援助 / 救済手段, 防止策",/hɛlp/,He helped me with my homework.,彼は私の宿題を手伝ってくれた。
,,,hit,"【動/他】〈人・物〉を打つ / ...にぶつかる / 《...に》...をぶつける《against, on ...》 / 【動/他】《...を》打つ《at ...》 / 《...に》ぶつかる《against, on ...》 / 【名/C】打撃",/hɪt/,He hit the ball with a bat.,彼はバットでボールを打った。
,,,handle,【名/C】取っ手 / 【動/他】に手で触れる / を扱う / 【動/自】(自動車などが) 操縦できる,/ˈhændl/,I know how to handle difficult situations.,難しい状況を処理する方法を知っています。
,,,hardly,【副】ほとんど...ない / おそらく...ない / 《遠回しに》少しも(全く)…ない,/ˈhɑːrdli/,I hardly ever go to the gym.,私はほとんどジムに行かない。
,,,hole,"(壁などにあいた)穴,割れ目;(衣類などの)破れ穴,裂け目;(道路などにできた)くぼみ,へこみ  / (動物の住む)巣穴  / 《話》あばら家  / (議論・計画などの)欠点(fault)  / 《話》窮地,苦境  / ホール(ゴルフで球を打ち込む穴);(球をホールに入れた)得点  / 〈物〉‘に'穴をあける(掘る)  / (ゴルフで)〈球〉‘を'打ってホールに入れる(ゴルフで)球を打ってホールに入れる《+out》",/həʊl/,The rabbit jumped into the hole.,ウサギが穴に飛び込んだ。
,,,holiday,"休日,休業日,祝祭日,公休日  / 《しばしば複数形で》《英》長い休暇  / (宗教上の)聖日  / 休暇をとる,休暇を過ごす(《米》vacation)",/ˈhɒlɪdeɪ/,I'm going on a holiday next month.,来月休暇を取るつもりです。
,,,home,"〈C〉〈U〉《おもに米》(家族の住む)『家』,住居,わが家  / 〈U〉〈C〉『家庭』,家庭生活  / 〈U〉『生まれ故郷』,長く住んでいる所;故国,本国  / 〈C〉(動物の)生息地,(植物の)原産地;(物・思想などの)発祥地,本場  / 〈C〉《家のない人・病人などの》『収容施設』,ホーム《for ...》  / 〈U〉〈C〉決勝点,ゴール;(野球で)本塁,ホーム",/həʊm/,I love coming home after a long day at work.,仕事の長い一日の後に家に帰るのが大好きです。
,,,house,"家,住宅  / 家庭,家族,世帯  / 《しばしば複合語を作って》(ある特定の目的に用いる)建物  / (劇場などの)観客,聴衆  / 《しばしばthe H-》議会,立法府,議院  / 《しばしばH-》(王侯貴族の)家系,…家  / 〈人〉‘に'住居を提供する;〈人〉‘を'泊める,収容する  / 〈品物〉‘を'しまう,蓄える  / 家の  / (特定の会社などの)社員向けの",/haʊs/,My house is very big.,私の家はとても大きいです。
,,,hunt,"〈野生の鳥・動物〉‘を'狩る,〈獲物のいる場所〉‘を'狩る,〈馬・犬など》‘を'狩猟に使う  / 〈物・仕事など〉‘を'捜す,見つけようとする  / (…を求めて)〈場所〉‘を'くまなく捜す《+名+for+名》  / (…から)…‘を'迫いやる《+名+away(+away+名)+from(off, out of)+名》  / 狩りをする  / (…を)捜し求める《+for(after)+名》  / (…を求めて…を)くまなそ捜す《+in(through)+名+for+名》  / 狩り,狩猟;《英》キツネ狩り  / 狩猟隊(会)  / (…の)捜索;追求《+for+名》",/hʌnt/,He likes to hunt deer in the forest.,彼は森で鹿を狩るのが好きです。
,,,idea,"【名/C】(心に浮かんだ) 考え / (はっきりとした)意見 / 案, 計画,",/aɪˈdiə/,I have an idea.,私にはアイデアがある。
,,,no less,同じだけ、同様に、(実に)…ほども、まさしく、確かに,/nəʊ lɛs/,"I worked hard, no less than before.",私は以前と同様に、決して努力を惜しまなかった。
,,,seventy,"〈C〉(数の)70,70の記号(70,LXXなど)  / 〈U〉70歳  / 〈U〉《複数扱い》70人,70固  / 《the seventies》(世紀の)70年代;《one's seventies》(年齢の)70代  / 70の,70人の,70個の  / 《補語にのみ用いて》70歳の(で)",/ˈsɛvənti/,I have seventy dollars in my wallet.,私の財布には70ドルあります。
,,,huge,"【形】巨大な,莫大な",/hjuːdʒ/,The elephant is huge.,象は巨大です。
,,,holder,"【名/C】保持者, 所持者 / 支える物, 入れて持つ物",/ˈhoʊldər/,She is the holder of the highest score in the competition.,彼女は競技で最高得点を持つ人です。
,,,impossible,"不可能な,できない  / (人・物事が)我慢ならない,耐えがたい  / ほんとうとは思えない,信じがたい",/ɪmˈpɑsəbəl/,Achieving that goal seems impossible.,その目標を達成することは不可能のようだ。
,,,insure,を保証する / に保険をかける,/ɪnˈʃʊər/,I will insure my car against theft.,私は車を盗難から保証します。
,,,interest,"【名/C/U】《...に対する》興味, 関心《in ...》 / 【名/C】関心事 / 《しばしば複数形で》利益 / 【名/U】(借金などの) 利子 / 【動/他】《...に》〈人〉に興味を持たせる《in ...》",/ˈɪntrəst/,I have a lot of interest in learning new languages.,新しい言語を学ぶことにとても興味があります。
,,,it,"《すでに述べられた物・事または幼児,動物などを指して》それは(を),そのものは(を),そのことは(を)  / 《その場の状況で相手に何であるか分かるような物・事または人を指して》それは(を),そのことは(を)",/ɪt/,It is already mentioned.,それはすでに言及されています。
,,,join,"〈二つ以上のもの〉をつなぐ,結合する《together, up》 / 《…に》…をつなぐ《to, onto ...》 / 〈会など〉に加入する  / 《…で》〈人〉の仲間に入る, といっしょになる《in, for ...》  / 《〈人〉と〈事〉に》加わる《in 〈事〉 with 〈人〉》  / 《〈人〉と…を》ともにする《with 〈人〉 in ...》  / 〈川・道などが〉いっしょになる",/dʒɔɪn/,Let's join the party tonight.,今夜のパーティーに参加しましょう。
,,,membership,"〈U〉(団体の)一員(成員,メンバー)であること  / 〈C〉《単数形で》(団体・組織の)全会員  / 《単数形で》(団体・組織の)構成員の数,会員数",/ˈmɛmbərʃɪp/,I applied for a membership at the local gym.,私は地元のジムの会員申請をしました。
,,,judge,"【名/C】裁判官 / 審査員 / 《...の》鑑定家《of ...》 / 【動/他】を裁判する / を審判する / を判断する,を評価する",/dʒʌdʒ/,The judge ruled in favor of the plaintiff.,裁判官は原告の利益にかなった判決を下した。
,,,knock,"(音がするくらい強く)…‘を'たたく,打つ,なぐる  / (…に)〈体・体の一部〉‘を'ぶつける《+名+against(on)+名》  / 《副詞[句]を伴って》…‘を'打って(ある状態などに)する  / 〈穴など〉‘を'打ってあける  / 《俗》…‘を'けなす,こきおろす  / 《英俗》…‘を'びっくりさせる,‘に'ショックを与える  / (…を)コツコツとたたく《+on(at)+名》  / (…に)ぶつかる,衝突する《+against(into)+名》  / (故障などで)〈エンジンなどが〉ガタガタいう,ノッキングを起こす  / (…を)打つこと,(…に対する)一打(撃)《+on+名》  / (…を)ノックすること(音)《+on(at)+名》 ",/nɑk/,He knocked on the door.,彼はドアをノックした。
,,,land,"〈U〉(海・川・湖に対して)陸,陸地  / 〈U〉(性質・用途から見た)土地,土壌(ground, soil)  / 〈C〉国,国土(country)  / 〈C〉(特定の)地域の住民,国民  / 《the lands》(特定の)地域,地帯  / 〈U〉〈C〉(財産としての)土地,所有地  / (…に)〈飛行機などが〉着陸(着水)する《+at(in, on)+名》  / (…に)〈船が〉着岸する,陸づけする《+at(in)+名》  / (…に)〈人が〉船から上陸する《+at(in, on)+名》  / (ある所・物に)〈物が〉当たって止まる;〈鳥が〉舞い降りる《+at(in, on)+名》  / (悪い状態に)なる,陥る《+up in+名》 ",/lænd/,The ship approached the land after a long journey at sea.,船は長い航海の後、陸地に近づいた。
,,,last,"【形】最後の / 《時を表す語につけて》すぐ前の / 最新の / 《the ~ A to do / that ...》最も...しそうにないA, 最も...でないA / 【副】最後に / この前に,最近 / 【名】《the ~》最後の人（もの）",/læst/,This is the last chance.,これが最後のチャンスです。
,,,neighborhood,"【名/C】近所,近隣 / 街区,住宅地 / 近隣社会",/ˈneɪbərˌhʊd/,I love my neighborhood because it's quiet and friendly.,私は静かで友好的な近所が好きです。
,,,lead,"【動/他】を導く / の先頭になる / を率いる / 【動/自】（人が）案内する / 《...に》（道などが）通じている 《to ...》 / 【名/U】《the~》先頭 / 【形】先頭の,主要な",/liːd/,He took the lead in organizing the event.,彼はイベントの組織をリードしました。
,,,line,"〈C〉『線』, 筋 / (色・縫い目などの)『線』,しま, (顔・手などの)しわ([[wrinkle]]) / (物・人の)『列』,行列([[row]]) / 『綱』,糸,針金 / 電線,電話線 / （文章・詩の）『行』 / 《しばしばa~》《話》短い手紙([[note]]) / (鉄道・バスなどの)路線 / 《複数形で》せりふ",/laɪn/,The line for the concert tickets was incredibly long.,コンサートのチケットの列は信じられないほど長かった。
,,,little,小さい,/ˈlɪtəl/,The little girl was afraid of the dark.,その小さな女の子は暗闇が怖かった。
,,,love,"〈C〉(テニスで)零点  / …を愛する  / 〈物事〉‘が'大好きである  / …‘に'恋する,ほれる  / 愛する;恋する",/lʌv/,I love playing tennis.,私はテニスをするのが大好きです。
,,,man,"【名/C】(成人の) 男 / 【名/U】人類, 人 /",/mæn/,The old man walked slowly down the street.,老人はゆっくりと通りを歩いていった。
,,,marriage,"〈U〉〈C〉結婚,縁組  / 〈U〉結婚[している状態],結婚生活;(…との)結婚生活《+with+名》  / 〈C〉結婚式,婚礼(wedding)  / 〈U〉〈C〉(…の)結合,融合《+of+名》",/ˈmæɹɪdʒ/,Marriage is a lifelong commitment.,結婚は一生の約束です。
,,,marry,"…‘と'結婚する,‘を夫(妻)にする;《しばしば比喩(ひゆ)的に》〈金・人の財産など〉‘と'結婚する  / 〈牧師などが〉…‘を'結婚させる  / 〈特に両親が〉(…に)…‘を'嫁にやる,嫁がせる《+off+名+to+名》  / 〈いくつかの…〉‘を'結合させる,融合させる;(…と)…‘を'結びつける《+名+with+名》  / 結婚する",/'mæɹi/,She wants to marry him.,彼女は彼と結婚したいと思っています。
,,,more,"(数・量・程度などが)《…より》いっそう大きい,もっと多く,ずっと高い《+than…》  / 《しばしば数詞,[[any]],[[some]],[[no]],[[a,few]],[[a little]]などを伴って》それ以上の,もっと多くの",/mɔːr/,I need more time to finish the project.,私はプロジェクトを終わらせるためにもっと時間が必要です。
,,,move,"【動/自】動く / 《...から...へ》引っ越す《from, out of ... to ....》 / 【動/他】を動かす / 《しばしば受動態で》〈人〉を感動させる",/muːv/,I need to make a move.,移動しなければなりません。
,,,movie,"(またmotion picture, moving picture)《米》映画;《しばしばthe movies》《集合的に》映画(《英》cinema);映画の上映  / 《複数形で》映画館(《英》cinema)  / 《複数形で》映画産業",/'muːvi/,I saw a movie last night.,昨晩、私は映画を見ました。
,,,mind,"【名/U】心, 精神 / 【名/C】知性 / 意見,考え方 / 【動/他】に注意する / 《否定・疑問・条件文で》…を気にする / 【動/自】気にかける / 《疑問文・否定文で》気にする",/maɪnd/,He has a sharp mind.,彼は鋭い知性を持っている。
,,,musical,"《名詞の前にのみ用いて》音楽の;音楽を伴う,音楽に合わせた  / (声などが)音調の美しい音楽的な  / (人が)音楽好きの;音楽の才のある  / =musical comedy  / =musical film",/ˈmjuːzɪkəl/,I love going to musicals.,私はミュージカルを見に行くのが大好きです。
,,,must,"《義務・必要》…ねばならない,すべきである  / 《命令・強制》…ねばならない,…せよ;《否定文では禁止》…してはいけない  / …にちがいない,きっと…のはずだ;《「~ have 過去分詞」の形で》…であったに違いない,きっと…であったはずだ  / 必ず…する,…は避けられない  / どうしても…しないと承知しない  / 《話》《過去のあいにくのでき事》あいにく…した",/mʌst/,You must finish your homework before you can go out to play.,遊びに行く前に宿題を終わらせなければなりません。
,,,my,"私の  / 《親しみをこめた呼び掛けに用いて》  / 《驚きを表して》おや,まあ",/maɪ/,This is my car.,これは私の車です。
,,,national,"国民の;国家の  / 国立の,国有の  / 全国的な  / 《修飾語を伴って》(特定国の)市民,国民",/næʃənəl/,The national anthem is sung before every game.,試合前には国歌が歌われます。
,,,nearby,【形】近くの【副】近くに,/nɪərˈbaɪ/,There is a park nearby.,近くに公園があります。
,,,necessarily,"必ず,必然的に / 《not ~ A》必ずしもAでない",/ˈnɛsəˌsɛrəli/,I don't necessarily agree with his decision.,彼の決断に必ずしも同意するわけではありません。
,,,necessary,"【形】必要な,不可欠な,なくてはならない；必然的な,避けられない【名/C】必需品,必要なもの；必要なこと（金）",/ˈnɛsəˌsɛri/,Water is necessary for survival.,生存には水が必要です。
,,,much,"(量・程度などが)多くの, 多量の, たくさんの / 《否定を伴って》それほど, あまり",/mʌtʃ/,She didn't eat much dinner.,彼女は晩ご飯をあまり食べませんでした。
,,,obvious,"(一見して)明白な,明らかな,すぐ分かれる;見えすいた",/əbˈviːəs/,It is obvious that she is upset.,彼女が悲しんでいるのは明白だ。
,,,offer,"…‘を'申し出る,すすめる,提供する  / …‘を'企てる  / (品物に)〈値段〉‘を'つける《+名〈値段〉+for+名〈品物〉》  / (ある金額で)…‘を'売りに出す《+名+for+名〈金額〉》  / (神に)…‘を'ささげる《+up+名+to+名》  / 〈機会などが〉現れる,起こる(occur)  / (神に)ささげ物(祈り)をささげる  / (女性に)求婚する  / 申し出,提案  / 付け値",/ˈɒfər/,I would like to offer my assistance.,私はお手伝いを申し出したいと思います。
,,,office,"〈C〉事務所,事務室;営業所,会社  / 《集合的に》《単数扱い》事務所(営業所)の全員  / 〈C〉〈U〉(特に政府・会社などの)公職,官職,職務  / 〈C〉(一般に)任務,務め,役目(duty)  / 〈C〉官庁,役所;〈U〉《O-》《米》局,《英》省  / 〈C〉《複数形で》(…の)尽力,親切,世話《+of+名》  / 〈C〉《時にO-》(宗教上の)儀会,葬会;(定められた時間の)礼拝",/ˈɔfɪs/,I went to the office to pick up some documents.,オフィスに文書を取りに行った。
,,,old,"年とった,老齢の  / 年上の,年長の  / ある年月(年齢)の,…歳の  / (物事が)古い,古くさい,新しくない  / 《名詞の前にのみ用いて》昔なじみの,昔なつかしい  / 《名詞の前にのみ用いて》古代の,大昔の  / 《名詞の前にのみ用いて》(現在に対して)以前の,もとの  / (衣服など)使い古した  / (人が)経験のある,老練な  / 《話》《呼び掛けで親しみなどをこめて》  / 《話》《名詞の前にのみ用い,前の形容詞を強めて》非常な,すばらしい  / 昔",/əʊld/,This is an old book.,これは古い本です。
,,,only,"《数量に関して》たった,わずか  /  《他を排除して》…だけ, …のみ / 《名詞の後で》…に限る; …専用 / ただ…だけ,単に…に過ぎない, ほんの...に過ぎない /  《通例[[can]], [[could]]と共に》（最適・十分ではないが）…しかできない / 《通例[[will]], [[would]]と共に》かえって…するだけ",/ˈoʊnli/,I can only stay for an hour.,私は1時間しか滞在できません。
,,,other,"《no,one,some,anyなどを伴って》別の,ほかの,違った  / 《other thanの形で補語に用いて》…とは違った,…とは別の  / 《the ~》(二者のうちの)もう一方の,他方の;反対の,向こう側の;(三者以上のうち)それ以外の,残りの  / ほかのもの,ほかの人[たち]  / 《the ~》(二つの中で)もう一方のもの(人り,(三つ以上の中で)これ以外のもの(人),残りのもの(人)  / 《other thanの形で》(…と)別の方法では,(…)ではなく",/ˈʌðər/,The other students all got higher scores than me.,他の学生は皆私よりも高い点数を取った。
,,,out,"(ある位置・状態から)外へ, 外で / (隠れた所から表面に)現れ出て, 世に出て / 無くなって,消えて  / 最後まで,すっかり",/aʊt/,She stepped out of the car.,彼女は車から外に出た。
,,,picture,"〈C〉絵,絵画  / 〈C〉写真  / 〈C〉映画;《the pictures》《おもに英》(興行としての)映画  / 〈C〉生き生きとした叙述(描写)  / 〈C〉《単数形で》絵のように美しい人(物,風景)  / 〈U〉《the~》(人の)生き写し;(ある性質・気分などを)絵にしたようなもの;(…の)見本,化身(embodiment)《+of+名》  / 〈C〉《単数形で》(…の)像,心像;画像,画面《+of+名》  / 〈U〉《the~》状況,事態  / {動}‘を'絵に描く  / …‘を'絵に描いたように描写する  / …‘を'心に描く,想像する",/ˈpɪktʃər/,I have a picture of my family.,私は家族の写真を持っています。
,,,pair,"(二つで一つに用いられる物の)組,対《+of+名》  / (対になる部分からなる物の)1個《+of+名》  / 《集合的に》《複数扱い》夫婦,婚約中の男女;(動物の)つがい《+of+名》  / 《集合的に》《複数扱い》(同種または何かの関係のある物の)二人(二つ,2頭など)の組《+of+名》  / …‘を'二人(2個)ずつ組にする《+名+off(up),+off(up)+名》,(…と)…‘を'組にする《+名+with+名》  / (…と)…‘を'結婚させる《+名+[up]with+名》  / 二人(2個)ずつ組になる《+off(up)》",/pɛr/,He bought a new pair of shoes.,彼は新しい靴のペアを買った。
,,,past,"(場所)を通り越して,の先に  / (時刻)を過ぎて;(年齢)を過ぎて  / (能力・限度など)を越えて,の及ばない  / (ある数・量)を越えて,…以上",/pæst/,I walked past the park.,私は公園を通り越して歩きました。
,,,perfect,"完全な,欠点のない,申し分のない  / (必要なものが)完全にそろった  / (写しなどが原物に)正確な  / 《名飼の前にのみ用いて》全くの  / (文法で)完了の  / 《the ~》完了時制  / 〈C〉完了形(完了時制の動詩形)  / …‘を'完鮮にする",/'pɜːrfɪkt/,She has a perfect score on the test.,彼女はテストで完全なスコアを取った。
,,,pack,"【名】包み, 束 / 《...の一つの》 包み 《of ...》 / 《...の》 群れ, 隊 《of ...》 / 【動/他】を包む, を束ねる / 《...に》 を詰め込む 《into ...》 / をいっぱいにする / 【動/自】荷造りする / 包装する",/pæk/,I need to pack my suitcase for the trip.,旅行のためにスーツケースに荷物を詰める必要があります。
,,,phone,【動/他】に電話をかける  / 【動/自】電話する,/fəʊn/,I'll phone you later,後であなたに電話します
